idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
69,3.45,-4.669653316947352e-71,-2.562850155930227e-39,-2.040011469747308,3.808437671907617e-69,2.090188375628619e-37,-1.0506577934468653,4.120812623672809e-68,2.2616294097916164e-36,-0.2089066450708721,0.0,70.0,255.0,255.0,255.0
70,3.5,2.026736813628678e-70,1.1123358430028707e-38,-2.0928056513139413,5.616657815640081e-69,3.082595512257424e-37,-1.0610631913028845,1.4901341144011577e-68,8.178316864744274e-37,-0.20697159004521293,0.0,70.0,255.0,255.0,255.0
71,3.5500000000000003,5.149692483945347e-70,2.8263104966644017e-38,-2.1461177888775964,5.298571786308775e-69,2.9080200621030463e-37,-1.0713549524513866,-4.1169521725993855e-68,-2.2595106748526483e-36,-0.20435317262861297,0.0,70.0,255.0,255.0,255.0
72,3.6,7.325308599937453e-70,4.020355905105917e-38,-2.19994114655908,1.4997056430406954e-69,8.230848374047757e-38,-1.0814985085657458,-1.0881142042988247e-67,-5.971907267797236e-36,-0.20119842937700305,0.0,70.0,255.0,255.0,255.0
73,3.6500000000000004,6.649398126986042e-70,3.6493953340691774e-38,-2.254267639734171,-5.582570256679472e-69,-3.0638872056941894e-37,-1.0914747953890869,-1.5712988532059228e-67,-8.623774052640629e-36,-0.19781314508411363,0.0,70.0,255.0,255.0,255.0
74,3.7,1.74273834325798e-70,9.564686994117279e-39,-2.3090886260979886,-1.4213282889018533e-68,-7.800689215235854e-37,-1.1012798230741572,-1.5379082080018068e-67,-8.440515865234288e-36,-0.19450188306997518,0.0,70.0,255.0,255.0,255.0
75,3.75,-7.563884762032491e-70,-4.1512938811666775e-38,-2.3643956220415867,-2.0961652336697542e-68,-1.1504403070928478e-36,-1.1109249836960844,-5.5612562250368164e-68,-3.0521894059623295e-36,-0.19157405987471066,0.0,70.0,255.0,255.0,255.0
76,3.8000000000000003,-1.921891399343956e-69,-1.054793437151675e-37,-2.420181124467597,-1.977453911405535e-68,-1.0852878621198183e-36,-1.1204372290616282,1.536467468047184e-67,8.432608638794247e-36,-0.18919145552738215,0.0,70.0,255.0,255.0,255.0
77,3.85,-2.733842387608784e-69,-1.5004172502364862e-37,-2.4764393449477495,-5.596977656225703e-69,-3.071794432134231e-37,-1.1298441292488226,4.0608974948805963e-67,2.2287461341509128e-35,-0.1872242855359918,0.0,70.0,255.0,255.0,255.0
78,3.9000000000000004,-2.4815891649665265e-69,-1.3619728803650982e-37,-2.5331655373924793,2.0834435834750614e-68,1.1434582720310946e-36,-1.1391596576152274,5.864167154039221e-67,3.2184362917449033e-35,-0.18540780345714936,0.0,70.0,255.0,255.0,255.0
79,3.95,-6.503988041337226e-70,-3.569589782053914e-38,-2.5903553107092723,5.304469388416651e-68,2.9112568485314804e-36,-1.1483849095945375,5.73955156963995e-67,3.150043405114556e-35,-0.18348544968920244,0.0,70.0,255.0,255.0,255.0
